epoch,loss,accuracy,val_loss,val_accuracy
1,1.4241806268692017,0.49533334374427795,0.2872038781642914,0.9164000153541565
2,0.19301635026931763,0.942466676235199,0.11439184844493866,0.9656999707221985
3,0.10196865350008011,0.9695000052452087,0.07513128966093063,0.9769999980926514
4,0.07369185239076614,0.9779333472251892,0.05191943794488907,0.9842000007629395
5,0.0601712204515934,0.9816333055496216,0.04910172522068024,0.9853000044822693
6,0.05088216811418533,0.9849666953086853,0.042601995170116425,0.9851999878883362
7,0.04455265402793884,0.9865333437919617,0.04241180419921875,0.986299991607666
8,0.03949204832315445,0.988183319568634,0.03515065088868141,0.9883000254631042
9,0.03598620742559433,0.9887499809265137,0.037229761481285095,0.9872999787330627
10,0.03199423477053642,0.9906666874885559,0.03314496949315071,0.9889000058174133
